,strDrink,strSource,strLink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
349,irish lemonade,SAQ,0,irish whiskey,,,,,,,,,,,,,,
350,irrestibly cuban,SAQ,0,rum,peach liqueur,,,,,,,,,,,,,
351,island beauty,SAQ,0,pear liqueur,,,,,,,,,,,,,,
352,island treasure,SAQ,0,spiced rum,,,,,,,,,,,,,,
353,italian chocolate martini,SAQ,0,vodka,chocolate-flavoured cream,,,,,,,,,,,,,
354,italian kir,SAQ,0,black currant liqueur,champagne,,,,,,,,,,,,,
355,italian kiss,SAQ,0,almond liqueur,champagne,,,,,,,,,,,,,
356,italissimo,SAQ,0,bitter liqueur,,,,,,,,,,,,,,
357,italotonic,SAQ,0,red vermouth,,,,,,,,,,,,,,
358,jack rose,SAQ,0,apple brandy,,,,,,,,,,,,,,
359,jack'o'lantern,SAQ,0,cinnamon liqueur,,,,,,,,,,,,,,
360,jager ginger,SAQ,0,herb liqueur,,,,,,,,,,,,,,
361,jazz,SAQ,0,vodka,peach liqueur,,,,,,,,,,,,,
362,jelly bean,SAQ,0,vodka,,,,,,,,,,,,,,
363,jinx,SAQ,0,dry gin,raspberry liqueur,,,,,,,,,,,,,
364,joli cœur,SAQ,0,vodka,dry white wine,,,,,,,,,,,,,
365,kamikaze,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
366,karamello,SAQ,0,rum cream liqueur,,,,,,,,,,,,,,
367,katy berry,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
368,key lime cream pie,SAQ,0,whipped cream-flavoured vodka,,,,,,,,,,,,,,
369,kiwi crazy,SAQ,0,tequila,,,,,,,,,,,,,,
370,klover leaf,SAQ,0,dry gin,berry liqueur,,,,,,,,,,,,,
371,la quebecoise,SAQ,0,coffee liqueur,ice cider,,,,,,,,,,,,,
372,lady apple,SAQ,0,vodka,apple brandy,,,,,,,,,,,,,
373,lagoon,SAQ,0,vodka,blue citrus liqueur,raspberry liqueur,,,,,,,,,,,,
374,late hour,SAQ,0,tequila,hazelnut liqueur,,,,,,,,,,,,,
375,latin quarter,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
376,le bandit,SAQ,0,spiced rum,almond liqueur,,,,,,,,,,,,,
377,le spritz d'ici,SAQ,0,bitter liqueur,sparkling cider,,,,,,,,,,,,,
378,lemon amaretto,SAQ,0,almond liqueur,,,,,,,,,,,,,,
379,lemon coffee,SAQ,0,coffee liqueur,,,,,,,,,,,,,,
380,lemon drop,SAQ,0,citrus-flavoured rum,,,,,,,,,,,,,,
381,lemon gin,SAQ,0,dry gin,,,,,,,,,,,,,,
382,lemon love,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
383,lemon pie,SAQ,0,dry gin,lemon liqueur,,,,,,,,,,,,,
384,lemon rosso,SAQ,0,almond liqueur,red vermouth,,,,,,,,,,,,,
385,lemonade love,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
386,lemonade shiver,SAQ,0,dry gin,,,,,,,,,,,,,,
387,lemony anise,SAQ,0,anise liqueur,,,,,,,,,,,,,,
388,lemony mint,SAQ,0,lemon-flavoured vodka,,,,,,,,,,,,,,
389,lemony sunshine,SAQ,0,vodka,lemon liqueur,,,,,,,,,,,,,
390,licorice fizz,SAQ,0,anise liqueur,,,,,,,,,,,,,,
391,light sweater,SAQ,0,spiced rum,almond liqueur,,,,,,,,,,,,,
392,lime night,SAQ,0,rum,lemon liqueur,,,,,,,,,,,,,
393,lime punch,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
394,lingot,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
395,litchi delight,SAQ,0,tequila,lychee liqueur,,,,,,,,,,,,,
396,litchi rose,SAQ,0,vodka,,,,,,,,,,,,,,
397,london lemonade,SAQ,0,dry gin,lychee liqueur,,,,,,,,,,,,,
398,long island ice tea,SAQ,0,dry gin,rum,tequila,vodka,citrus liqueur,,,,,,,,,,
399,long island sour,SAQ,0,rum,honey liqueur,,,,,,,,,,,,,
400,long island spiced tea,SAQ,0,dry gin,spiced rum,tequila,vodka,citrus liqueur,,,,,,,,,,
401,lova bubbles,SAQ,0,vodka,champagne,,,,,,,,,,,,,
402,lychee 2.0,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
403,lychee love,SAQ,0,dry gin,lychee liqueur,,,,,,,,,,,,,
404,lychee tonic,SAQ,0,lychee liqueur,,,,,,,,,,,,,,
405,madonna,SAQ,0,dry gin,almond liqueur,,,,,,,,,,,,,
406,madrid fizz,SAQ,0,dry gin,champagne,,,,,,,,,,,,,
407,magic potion,SAQ,0,rum,maple-flavoured cream,,,,,,,,,,,,,
408,mai tai,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
409,mandarin,SAQ,0,mandarin-flavoured vodka,citrus liqueur,,,,,,,,,,,,,
410,mandarin capirovska,SAQ,0,mandarin-flavoured vodka,,,,,,,,,,,,,,
411,mango martini,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
412,manguilic,SAQ,0,mandarin-flavoured vodka,,,,,,,,,,,,,,
413,manhattan,SAQ,0,whiskey,red vermouth,,,,,,,,,,,,,
414,maple iced coffee,SAQ,0,maple-flavoured cream,,,,,,,,,,,,,,
415,maple martini,SAQ,0,maple liqueur,irish cream,,,,,,,,,,,,,
416,maple mojito,SAQ,0,rum,,,,,,,,,,,,,,
417,maple water,SAQ,0,vodka,maple liqueur,,,,,,,,,,,,,
418,mapple smash,SAQ,0,dry gin,maple liqueur,,,,,,,,,,,,,
419,margarita,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
420,margarita blanco,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
421,margarita italiana,SAQ,0,tequila,lemon liqueur,,,,,,,,,,,,,
422,margarita rosita,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
423,margatini,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
424,marseille ti' punch,SAQ,0,spiced rum,citrus liqueur,,,,,,,,,,,,,
425,martini chocolaté,SAQ,0,vodka,chocolate liqueur,,,,,,,,,,,,,
426,martini lychee,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
427,martini moonlight,SAQ,0,mandarin-flavoured vodka,red wine,,,,,,,,,,,,,
428,marula shake,SAQ,0,peach-flavoured liqueur,marula,,,,,,,,,,,,,
429,marula coco,SAQ,0,marula,,,,,,,,,,,,,,
430,melon and coconut,SAQ,0,coconut liqueur,melon liqueur,,,,,,,,,,,,,
431,melon ball,SAQ,0,vodka,melon liqueur,,,,,,,,,,,,,
432,melon daiquiri,SAQ,0,rum,melon liqueur,,,,,,,,,,,,,
433,melon gin,SAQ,0,dry gin,melon liqueur,,,,,,,,,,,,,
434,melon lagoon,SAQ,0,vodka,melon liqueur,,,,,,,,,,,,,
435,melon margarita,SAQ,0,tequila,,,,,,,,,,,,,,
436,melon medley,SAQ,0,citrus liqueur,exotic fruit liqueur,,,,,,,,,,,,,
437,melon paradise,SAQ,0,melon liqueur,,,,,,,,,,,,,,
438,melontini,SAQ,0,vodka,,,,,,,,,,,,,,
439,metropolis,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
440,mexican mule,SAQ,0,tequila,,,,,,,,,,,,,,
441,mezzo-mezzo,SAQ,0,red vermouth,white vermouth,,,,,,,,,,,,,
442,miami sunrise,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
443,midnight bubbles,SAQ,0,vodka,blue citrus liqueur,champagne,,,,,,,,,,,,
444,midnight coffee,SAQ,0,vanilla-flavoured vodka,irish cream,,,,,,,,,,,,,
445,midnight garden,SAQ,0,dry gin,melon liqueur,,,,,,,,,,,,,
446,milan coffee,SAQ,0,anise liqueur,,,,,,,,,,,,,,
447,milky way,SAQ,0,irish cream,,,,,,,,,,,,,,
448,millionnaire,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
449,mimosa,SAQ,0,champagne,,,,,,,,,,,,,,
450,minaki,SAQ,0,berry liqueur,,,,,,,,,,,,,,
451,mint julep,SAQ,0,whiskey,,,,,,,,,,,,,,
452,minty devil,SAQ,0,vodka,,,,,,,,,,,,,,
453,miss litchi,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
454,mistassini,SAQ,0,dry gin,,,,,,,,,,,,,,
455,mister ginger,SAQ,0,peach-flavoured liqueur,whiskey,,,,,,,,,,,,,
456,mix 'n' melon,SAQ,0,pear-flavoured vodka,melon liqueur,,,,,,,,,,,,,
457,mocha martini,SAQ,0,chocolate liqueur,irish cream,whiskey,,,,,,,,,,,,
458,modern punch,SAQ,0,rum,peach liqueur,lychee liqueur,,,,,,,,,,,,
459,mojito,SAQ,0,rum,,,,,,,,,,,,,,
460,mojito bongo,SAQ,0,citrus-flavoured rum,champagne,,,,,,,,,,,,,
461,mojito del rey,SAQ,0,champagne,white pineau des charentes,,,,,,,,,,,,,
462,mojito reinvented,SAQ,0,tequila,,,,,,,,,,,,,,
463,mojito royale,SAQ,0,rum,champagne,,,,,,,,,,,,,
464,mojitonic,SAQ,0,dry gin,rum,,,,,,,,,,,,,
465,montreal saint-germain,SAQ,0,rum,almond liqueur,,,,,,,,,,,,,
466,moroccan tea,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
467,morris lemon,SAQ,0,lemon-flavoured vodka,,,,,,,,,,,,,,
468,moscow mule,SAQ,0,vodka,,,,,,,,,,,,,,
469,mumbai mist,SAQ,0,lemon liqueur,maple liqueur,,,,,,,,,,,,,
470,mystery,SAQ,0,dry gin,white vermouth,,,,,,,,,,,,,
471,mystery coffee,SAQ,0,maple liqueur,,,,,,,,,,,,,,
472,mystery martini,SAQ,0,dry gin,herb liqueur,,,,,,,,,,,,,
473,negroni,SAQ,0,dry gin,bitter liqueur,red vermouth,,,,,,,,,,,,
474,ninja,SAQ,0,rum,lychee liqueur,,,,,,,,,,,,,
475,north star,SAQ,0,maple liqueur,brandy,,,,,,,,,,,,,
476,northern rose,SAQ,0,dry gin,,,,,,,,,,,,,,
477,nutcracker,SAQ,0,vodka,hazelnut liqueur,,,,,,,,,,,,,
478,odyssey,SAQ,0,anise liqueur,,,,,,,,,,,,,,
479,old fashioned maple,SAQ,0,scotch,,,,,,,,,,,,,,
480,old-fashioned,SAQ,0,whiskey,,,,,,,,,,,,,,
481,one thousand and one night,SAQ,0,vodka,,,,,,,,,,,,,,
482,ono2,SAQ,0,cognac,champagne,,,,,,,,,,,,,
483,opal,SAQ,0,rum,,,,,,,,,,,,,,
484,orange and coffee,SAQ,0,citrus liqueur,coffee liqueur,,,,,,,,,,,,,
485,orange blossom,SAQ,0,mandarin-flavoured vodka,white vermouth,,,,,,,,,,,,,
486,orange float,SAQ,0,dry gin,peach liqueur,,,,,,,,,,,,,
487,orange frost,SAQ,0,rum,coconut liqueur,,,,,,,,,,,,,
488,orange fusion,SAQ,0,rum,,,,,,,,,,,,,,
489,orange punch,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
490,orange shiver,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
491,orange splash,SAQ,0,dry gin,,,,,,,,,,,,,,
492,orange thunder,SAQ,0,rum,,,,,,,,,,,,,,
493,orange-punch madness,SAQ,0,tequila,,,,,,,,,,,,,,
494,orangerine,SAQ,0,mandarin-flavoured vodka,,,,,,,,,,,,,,
495,orchard chai,SAQ,0,apple-flavoured cream,,,,,,,,,,,,,,
496,oriental,SAQ,0,lychee liqueur,strawberry liqueur,sake,,,,,,,,,,,,
497,oriental breeze,SAQ,0,mandarin-flavoured vodka,lychee liqueur,,,,,,,,,,,,,
498,othello,SAQ,0,dry gin,apple brandy,,,,,,,,,,,,,
499,ottimo,SAQ,0,dry gin,,,,,,,,,,,,,,
500,paloma,SAQ,0,tequila,,,,,,,,,,,,,,
501,paradise,SAQ,0,dry gin,peach liqueur,,,,,,,,,,,,,
502,paradise reinvented,SAQ,0,blue citrus liqueur,cognac,,,,,,,,,,,,,
503,paris chic,SAQ,0,lychee liqueur,,,,,,,,,,,,,,
504,parisian cosmo,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
505,parisian trend,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
506,parrot,SAQ,0,anise liqueur,,,,,,,,,,,,,,
507,passion litchi,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
508,passion martini,SAQ,0,vodka,passion fruit liqueur,,,,,,,,,,,,,
509,passionata,SAQ,0,rum,vanilla liqueur,,,,,,,,,,,,,
510,passport to the sun,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
511,patriot,SAQ,0,blue citrus liqueur,maple liqueur,,,,,,,,,,,,,
512,pause,SAQ,0,coffee liqueur,irish cream,whiskey,,,,,,,,,,,,
513,peach and orange martini,SAQ,0,peach-flavoured vodka,citrus liqueur,,,,,,,,,,,,,
514,peach ice cream float,SAQ,0,rum,peach liqueur,,,,,,,,,,,,,
515,peach margarita,SAQ,0,tequila,peach liqueur,,,,,,,,,,,,,
516,peach rum & cola,SAQ,0,rum,peach liqueur,,,,,,,,,,,,,
517,peach soda,SAQ,0,vodka,peach liqueur,,,,,,,,,,,,,
518,peaches and port,SAQ,0,brandy,white port,,,,,,,,,,,,,
519,peachy dream,SAQ,0,peach-flavoured liqueur,,,,,,,,,,,,,,
520,pear margarita,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
521,pear martini,SAQ,0,vodka,,,,,,,,,,,,,,
522,pearl,SAQ,0,vodka,anise liqueur,,,,,,,,,,,,,
523,pearsuasian,SAQ,0,pear-flavoured vodka,,,,,,,,,,,,,,
524,perfect storm,SAQ,0,spiced rum,,,,,,,,,,,,,,
525,petit marseillais,SAQ,0,anise liqueur,,,,,,,,,,,,,,
526,pina colada,SAQ,0,rum,,,,,,,,,,,,,,
527,pina grande,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
528,pina latte,SAQ,0,dry gin,blue citrus liqueur,,,,,,,,,,,,,
529,pina martini,SAQ,0,vodka,,,,,,,,,,,,,,
530,pina marula,SAQ,0,marula,,,,,,,,,,,,,,
531,pina-carolinaaaa,SAQ,0,rum,coconut liqueur,,,,,,,,,,,,,
532,pineapple mojito,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
533,pink,SAQ,0,raspberry-flavoured vodka,rum,,,,,,,,,,,,,
534,pink blossom,SAQ,0,dry gin,lemon liqueur,,,,,,,,,,,,,
535,pink breeze,SAQ,0,vodka,,,,,,,,,,,,,,
536,pink lady,SAQ,0,dry gin,,,,,,,,,,,,,,
537,pink lemonade,SAQ,0,spiced rum,,,,,,,,,,,,,,
538,pirata,SAQ,0,spiced rum,vanilla liqueur,,,,,,,,,,,,,
539,pisco sour,SAQ,0,eau-de-vie,,,,,,,,,,,,,,
540,pisco sour lime,SAQ,0,eau-de-vie,,,,,,,,,,,,,,
541,piscola,SAQ,0,eau-de-vie,,,,,,,,,,,,,,
542,planter's punch,SAQ,0,rum,,,,,,,,,,,,,,
543,platinum gin,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
544,poached pear,SAQ,0,pear-flavoured vodka,,,,,,,,,,,,,,
545,podium,SAQ,0,whiskey,,,,,,,,,,,,,,
546,pom vodka,SAQ,0,vodka,,,,,,,,,,,,,,
547,pomegranate martini,SAQ,0,citrus liqueur,vodka,,,,,,,,,,,,,
548,pomigin,SAQ,0,dry gin,,,,,,,,,,,,,,
549,pool side punch,SAQ,0,rum,coconut liqueur,melon liqueur,,,,,,,,,,,,
550,pop,SAQ,0,blue citrus liqueur,raspberry liqueur,,,,,,,,,,,,,
551,praline,SAQ,0,vodka,almond liqueur,,,,,,,,,,,,,
552,praline hot chocolate,SAQ,0,hazelnut liqueur,,,,,,,,,,,,,,
553,pumpkin screwdriver,SAQ,0,vodka,peach liqueur,,,,,,,,,,,,,
554,punch citrus,SAQ,0,peach-flavoured liqueur,,,,,,,,,,,,,,
555,punch on the pier,SAQ,0,vodka,blue citrus liqueur,,,,,,,,,,,,,
556,purple jesus,SAQ,0,raspberry-flavoured vodka,blue citrus liqueur,,,,,,,,,,,,,
557,quebec 1837,SAQ,0,dry gin,champagne,,,,,,,,,,,,,
558,quebec mimosa,SAQ,0,maple liqueur,champagne,,,,,,,,,,,,,
559,quebec punch!,SAQ,0,maple liqueur,,,,,,,,,,,,,,
560,quebec sangria,SAQ,0,apple liqueur,rose wine,sparkling cider,,,,,,,,,,,,
561,queeb bee,SAQ,0,rum,cider,,,,,,,,,,,,,
562,queen of hearts,SAQ,0,spiced rum,,,,,,,,,,,,,,
563,quiet one,SAQ,0,marula,,,,,,,,,,,,,,
564,raphaelle,SAQ,0,vodka,white vermouth,,,,,,,,,,,,,
565,rasberry spook,SAQ,0,raspberry liqueur,,,,,,,,,,,,,,
566,raspberry bellini,SAQ,0,vodka,champagne,,,,,,,,,,,,,
567,raspberry collins,SAQ,0,dry gin,,,,,,,,,,,,,,
568,raspberry daiquiri,SAQ,0,rum,raspberry liqueur,,,,,,,,,,,,,
569,raspberry lemonade,SAQ,0,raspberry-flavoured vodka,,,,,,,,,,,,,,
570,raspberry lime,SAQ,0,raspberry-flavoured rum,,,,,,,,,,,,,,
571,raspberry orange,SAQ,0,raspberry liqueur,,,,,,,,,,,,,,
572,raspberry rave,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
573,raspberry whisky royal,SAQ,0,whiskey,,,,,,,,,,,,,,
574,rasptini,SAQ,0,raspberry-flavoured vodka,citrus liqueur,champagne,,,,,,,,,,,,
575,rasta delight,SAQ,0,rum,almond liqueur,,,,,,,,,,,,,
576,rebel lemonade,SAQ,0,scotch,,,,,,,,,,,,,,
577,red desert,SAQ,0,vodka,champagne,,,,,,,,,,,,,
578,red dragon,SAQ,0,mandarin-flavoured vodka,passion fruit liqueur,,,,,,,,,,,,,
579,red velvet,SAQ,0,raspberry liqueur,whiskey,,,,,,,,,,,,,
580,redhead,SAQ,0,vodka,,,,,,,,,,,,,,
581,redwood,SAQ,0,rum,strawberry liqueur,,,,,,,,,,,,,
582,refreshing punch,SAQ,0,vodka,,,,,,,,,,,,,,
583,reggae cream,SAQ,0,rum,marula,,,,,,,,,,,,,
584,relay,SAQ,0,vodka,blue citrus liqueur,,,,,,,,,,,,,
585,remix,SAQ,0,vodka,rose wine,,,,,,,,,,,,,
586,rhubarb royale,SAQ,0,vodka,almond liqueur,champagne,,,,,,,,,,,,
587,rhum-cocoa,SAQ,0,chocolate-flavoured vodka,spiced rum,,,,,,,,,,,,,
588,rio rusky,SAQ,0,vodka,,,,,,,,,,,,,,
589,riviera,SAQ,0,dry gin,anise liqueur,,,,,,,,,,,,,
590,rob collins,SAQ,0,vodka,elderberry liqueur,,,,,,,,,,,,,
591,rob roy,SAQ,0,scotch,red vermouth,,,,,,,,,,,,,
592,rose melon,SAQ,0,dry gin,,,,,,,,,,,,,,
593,rosebud,SAQ,0,coconut liqueur,strawberry-flavoured cream,,,,,,,,,,,,,
594,rosini,SAQ,0,lychee liqueur,champagne,,,,,,,,,,,,,
595,roska punch,SAQ,0,vodka,citrus liqueur,rose wine,,,,,,,,,,,,
596,rosso tonic,SAQ,0,red vermouth,,,,,,,,,,,,,,
597,royal kir,SAQ,0,black currant liqueur,champagne,,,,,,,,,,,,,
598,royal splash,SAQ,0,whiskey,,,,,,,,,,,,,,
599,royal strawberry,SAQ,0,strawberry liqueur,champagne,,,,,,,,,,,,,
600,royal surprise,SAQ,0,peach-flavoured liqueur,whiskey,,,,,,,,,,,,,
601,rum & cranberry,SAQ,0,rum,,,,,,,,,,,,,,
602,rum and soda,SAQ,0,rum,,,,,,,,,,,,,,
603,rum coffee,SAQ,0,rum,irish cream,,,,,,,,,,,,,
604,rum cola,SAQ,0,rum,,,,,,,,,,,,,,
605,rum rickey,SAQ,0,rum,,,,,,,,,,,,,,
606,rum runner,SAQ,0,rum,,,,,,,,,,,,,,
607,rum sidecar,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
608,rum treat,SAQ,0,rum,,,,,,,,,,,,,,
609,russian choir,SAQ,0,vodka,strawberry-flavoured cream,,,,,,,,,,,,,
610,russian toffee,SAQ,0,vodka,caramel-flavoured cream,,,,,,,,,,,,,
611,russian tropic,SAQ,0,vodka,,,,,,,,,,,,,,
612,rustic charm,SAQ,0,citrus liqueur,scotch,,,,,,,,,,,,,
613,rusty nail,SAQ,0,herb liqueur,scotch,,,,,,,,,,,,,
614,s'mores coffee,SAQ,0,chocolate-flavoured vodka,marshmallow-flavoured vodka,,,,,,,,,,,,,
615,sacre printemps,SAQ,0,rum,,,,,,,,,,,,,,
616,sahara,SAQ,0,almond liqueur,marula,,,,,,,,,,,,,
617,sake martini,SAQ,0,dry gin,sake,,,,,,,,,,,,,
618,salsa,SAQ,0,citrus liqueur,whiskey,,,,,,,,,,,,,
619,salty dog,SAQ,0,vodka,,,,,,,,,,,,,,
620,samba coco,SAQ,0,coconut liqueur,,,,,,,,,,,,,,
621,sangria,SAQ,0,red wine,,,,,,,,,,,,,,
622,sangria blanco,SAQ,0,citrus liqueur,dry white wine,,,,,,,,,,,,,
623,sangria du terroir,SAQ,0,rum,honey wine,red wine,,,,,,,,,,,,
624,santa sour,SAQ,0,vodka,,,,,,,,,,,,,,
625,saq celebration,SAQ,0,dry gin,bitter liqueur,citrus liqueur,,,,,,,,,,,,
626,scarlet supreme,SAQ,0,dry gin,,,,,,,,,,,,,,
627,scarlett passion,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
628,scorpion,SAQ,0,rum,,,,,,,,,,,,,,
629,scottish apple,SAQ,0,scotch,,,,,,,,,,,,,,
630,scottish coffee,SAQ,0,citrus liqueur,scotch,,,,,,,,,,,,,
631,screwdriver,SAQ,0,vodka,,,,,,,,,,,,,,
632,sea breeze,SAQ,0,vodka,,,,,,,,,,,,,,
633,sea star,SAQ,0,anise liqueur,,,,,,,,,,,,,,
634,sex on the beach,SAQ,0,vodka,peach liqueur,,,,,,,,,,,,,
635,shamrock,SAQ,0,irish whiskey,beer,,,,,,,,,,,,,
636,shanghai green tea,SAQ,0,vodka,,,,,,,,,,,,,,
637,shooting star,SAQ,0,dry gin,ice cider,,,,,,,,,,,,,
638,sidecar,SAQ,0,citrus liqueur,brandy,,,,,,,,,,,,,
639,silkiest,SAQ,0,irish cream,,,,,,,,,,,,,,
640,siren,SAQ,0,tequila,,,,,,,,,,,,,,
641,ski hill soother,SAQ,0,brandy,,,,,,,,,,,,,,
642,slalom,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
643,snazzy zest,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
644,snowflake,SAQ,0,vodka,melon liqueur,,,,,,,,,,,,,
645,so great,SAQ,0,vodka,lychee liqueur,,,,,,,,,,,,,
646,soco lime & soda,SAQ,0,peach-flavoured liqueur,,,,,,,,,,,,,,
647,soho ginger,SAQ,0,lychee liqueur,,,,,,,,,,,,,,
648,sour sicilan,SAQ,0,almond liqueur,peach liqueur,,,,,,,,,,,,,
649,spanish coffee,SAQ,0,rum,coffee liqueur,,,,,,,,,,,,,
650,sparkle & shine,SAQ,0,raspberry-flavoured vodka,vodka,,,,,,,,,,,,,
651,sparkling anise,SAQ,0,anise liqueur,,,,,,,,,,,,,,
652,sparkling ginger,SAQ,0,whiskey,,,,,,,,,,,,,,
653,sparkling honey,SAQ,0,herb liqueur,champagne,,,,,,,,,,,,,
654,sparkling pear,SAQ,0,pear-flavoured vodka,,,,,,,,,,,,,,
655,sparkling rose,SAQ,0,vodka,champagne,,,,,,,,,,,,,
656,sparkling singapore,SAQ,0,dry gin,cherry liqueur,citrus liqueur,,,,,,,,,,,,
657,spice forest,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
658,spiced cider,SAQ,0,spiced rum,cider,,,,,,,,,,,,,
659,spiced cuba libre,SAQ,0,spiced rum,,,,,,,,,,,,,,
660,spiced iced tea,SAQ,0,spiced rum,,,,,,,,,,,,,,
661,spicy havana,SAQ,0,rum,almond liqueur,,,,,,,,,,,,,
662,spicy mojito,SAQ,0,spiced rum,,,,,,,,,,,,,,
663,spicy strawberry,SAQ,0,tequila,strawberry liqueur,,,,,,,,,,,,,
664,spicy winter punch,SAQ,0,spiced rum,bitter liqueur,citrus liqueur,,,,,,,,,,,,
665,splash,SAQ,0,vodka,,,,,,,,,,,,,,
666,spring punch,SAQ,0,rum,,,,,,,,,,,,,,
667,springtime surprise,SAQ,0,vodka,,,,,,,,,,,,,,
668,sprint,SAQ,0,melon liqueur,whiskey,,,,,,,,,,,,,
669,spritzini,SAQ,0,dry gin,bitter liqueur,,,,,,,,,,,,,
670,star of bombay,SAQ,0,dry gin,,,,,,,,,,,,,,
671,star studded kir,SAQ,0,black currant liqueur,cider,,,,,,,,,,,,,
672,star-studded sangria,SAQ,0,spiced rum,vodka,red wine,,,,,,,,,,,,
673,stinger,SAQ,0,white mint liqueur,brandy,,,,,,,,,,,,,
674,stinger express,SAQ,0,white mint liqueur,,,,,,,,,,,,,,
675,stopover,SAQ,0,anise liqueur,,,,,,,,,,,,,,
676,storm,SAQ,0,rum,,,,,,,,,,,,,,
677,strawberry cake,SAQ,0,citrus liqueur,strawberry liqueur,,,,,,,,,,,,,
678,strawberry crush gin,SAQ,0,dry gin,,,,,,,,,,,,,,
679,strawberry daiquiri,SAQ,0,rum,,,,,,,,,,,,,,
680,strawberry kiss,SAQ,0,vanilla-flavoured vodka,raspberry liqueur,champagne,,,,,,,,,,,,
681,strawberry martini,SAQ,0,vodka,strawberry-flavoured cream,,,,,,,,,,,,,
682,strawberry parfait,SAQ,0,chocolate-flavoured vodka,strawberry-flavoured cream,,,,,,,,,,,,,
683,strawberry tonic,SAQ,0,dry gin,,,,,,,,,,,,,,
684,sublime,SAQ,0,vodka,melon liqueur,,,,,,,,,,,,,
685,sugar ball,SAQ,0,maple-flavoured cream,,,,,,,,,,,,,,
686,sugar kiss,SAQ,0,vodka,,,,,,,,,,,,,,
687,summer cottage,SAQ,0,irish cream,,,,,,,,,,,,,,
688,summer delight,SAQ,0,raspberry liqueur,,,,,,,,,,,,,,
689,summer lightning,SAQ,0,vodka,champagne,,,,,,,,,,,,,
690,summer nectar,SAQ,0,vodka,,,,,,,,,,,,,,
691,summer raspberry,SAQ,0,raspberry-flavoured vodka,,,,,,,,,,,,,,
692,sun punch,SAQ,0,rum,anise liqueur,raspberry liqueur,,,,,,,,,,,,
693,sungarita,SAQ,0,tequila,beer,,,,,,,,,,,,,
694,sunny breeze,SAQ,0,anise liqueur,citrus liqueur,,,,,,,,,,,,,
695,sunny garden,SAQ,0,melon liqueur,apple brandy,,,,,,,,,,,,,
696,sunset,SAQ,0,vodka,red vermouth,,,,,,,,,,,,,
697,sunshine sangria,SAQ,0,peach-flavoured liqueur,brandy,,,,,,,,,,,,,
698,sweet & sour martini,SAQ,0,vodka,,,,,,,,,,,,,,
699,sweet shiver,SAQ,0,irish cream,,,,,,,,,,,,,,
700,sweet tooth,SAQ,0,absinth,,,,,,,,,,,,,,
701,sweet tornado,SAQ,0,vodka,sherry,,,,,,,,,,,,,
702,tangerine screwdriver,SAQ,0,vodka,,,,,,,,,,,,,,
703,tango red,SAQ,0,bitter liqueur,peach liqueur,cognac,,,,,,,,,,,,
704,tech tonic,SAQ,0,dry gin,mixed fruit liqueur,,,,,,,,,,,,,
705,tequila caesar,SAQ,0,tequila,,,,,,,,,,,,,,
706,tequila pop,SAQ,0,tequila,champagne,,,,,,,,,,,,,
707,tequila sun,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
