,strDrink,strSource,strLink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15
80,bloody mary,SAQ,0,vodka,,,,,,,,,,,,,,
81,bloody orange,SAQ,0,vodka,bitter liqueur,,,,,,,,,,,,,
82,blue devil,SAQ,0,dry gin,blue citrus liqueur,,,,,,,,,,,,,
83,blue ice,SAQ,0,rum,blue citrus liqueur,,,,,,,,,,,,,
84,blue lagoon,SAQ,0,vodka,blue citrus liqueur,,,,,,,,,,,,,
85,blue muscat,SAQ,0,blue citrus liqueur,fortified white wine,,,,,,,,,,,,,
86,blue passion,SAQ,0,rum,blue citrus liqueur,,,,,,,,,,,,,
87,blue wave,SAQ,0,passion fruit liqueur,,,,,,,,,,,,,,
88,blue wind,SAQ,0,dry gin,blue citrus liqueur,,,,,,,,,,,,,
89,bogeyman,SAQ,0,mango liqueur,champagne,,,,,,,,,,,,,
90,brandini,SAQ,0,citrus liqueur,brandy,,,,,,,,,,,,,
91,brandy alexander,SAQ,0,chocolate-flavoured cream,cognac,,,,,,,,,,,,,
92,brandy cola,SAQ,0,brandy,,,,,,,,,,,,,,
93,brandy sangria,SAQ,0,brandy,dry white wine,,,,,,,,,,,,,
94,brandy sunshine,SAQ,0,brandy,,,,,,,,,,,,,,
95,brazilian coffee,SAQ,0,citrus liqueur,coffee liqueur,brandy,,,,,,,,,,,,
96,bright midnight,SAQ,0,spiced rum,champagne,,,,,,,,,,,,,
97,brioche,SAQ,0,spiced rum,hazelnut liqueur,,,,,,,,,,,,,
98,bromance,SAQ,0,cinnamon cream,,,,,,,,,,,,,,
99,brunch & co,SAQ,0,eau-de-vie,,,,,,,,,,,,,,
100,budding genius,SAQ,0,dry gin,,,,,,,,,,,,,,
101,buttercup,SAQ,0,spiced rum,lemon liqueur,,,,,,,,,,,,,
102,cactus banger,SAQ,0,tequila,vanilla liqueur,,,,,,,,,,,,,
103,cafe biscotti,SAQ,0,spiced rum,irish cream,,,,,,,,,,,,,
104,cafe coretto,SAQ,0,anise liqueur,,,,,,,,,,,,,,
105,caipi tai,SAQ,0,eau-de-vie,spiced rum,,,,,,,,,,,,,
106,caipirinha,SAQ,0,eau-de-vie,,,,,,,,,,,,,,
107,caipiroska,SAQ,0,vodka,,,,,,,,,,,,,,
108,calypso coffee,SAQ,0,spiced rum,irish cream,,,,,,,,,,,,,
109,candy pink,SAQ,0,dry gin,raspberry liqueur,,,,,,,,,,,,,
110,canicule,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
111,cape cod,SAQ,0,vodka,,,,,,,,,,,,,,
112,captain's punch,SAQ,0,spiced rum,,,,,,,,,,,,,,
113,caramel secret slope,SAQ,0,almond liqueur,caramel-flavoured cream,,,,,,,,,,,,,
114,cardinal martini,SAQ,0,vodka,passion fruit liqueur,,,,,,,,,,,,,
115,caribbean cider,SAQ,0,rum,cider,,,,,,,,,,,,,
116,caribbean rum,SAQ,0,spiced rum,citrus liqueur,,,,,,,,,,,,,
117,carribbean slushy,SAQ,0,rum,blue citrus liqueur,,,,,,,,,,,,,
118,carnivore,SAQ,0,scotch,,,,,,,,,,,,,,
119,cassis sunrise,SAQ,0,vodka,black currant liqueur,white vermouth,,,,,,,,,,,,
120,cesar reborn,SAQ,0,vodka,,,,,,,,,,,,,,
121,champagne cocktail,SAQ,0,cognac,champagne,,,,,,,,,,,,,
122,champagne julep,SAQ,0,cognac,champagne,,,,,,,,,,,,,
123,championship cup,SAQ,0,vodka,white vermouth,,,,,,,,,,,,,
124,chernika,SAQ,0,vodka,,,,,,,,,,,,,,
125,cherry blossom,SAQ,0,almond liqueur,irish cream,,,,,,,,,,,,,
126,cherry chill,SAQ,0,cherry-flavoured vodka,,,,,,,,,,,,,,
127,cherry coffee,SAQ,0,spiced rum,irish cream,,,,,,,,,,,,,
128,chic quarter,SAQ,0,brandy,,,,,,,,,,,,,,
129,chihuahua punch,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
130,chimayo,SAQ,0,tequila,black currant liqueur,,,,,,,,,,,,,
131,chocafrica,SAQ,0,rum,marula,,,,,,,,,,,,,
132,choco espresso,SAQ,0,maple-flavoured cream,,,,,,,,,,,,,,
133,choco lips,SAQ,0,chocolate-flavoured cream,,,,,,,,,,,,,,
134,choco white russian,SAQ,0,vodka,coffee liqueur,,,,,,,,,,,,,
135,choco-mint cream,SAQ,0,chocolate-flavoured cream,irish cream,,,,,,,,,,,,,
136,choco-passion,SAQ,0,strawberry-flavoured cream,,,,,,,,,,,,,,
137,chocolate coffee,SAQ,0,chocolate-flavoured cream,,,,,,,,,,,,,,
138,chocolate orange,SAQ,0,chocolate-flavoured vodka,,,,,,,,,,,,,,
139,chocolate shot,SAQ,0,chocolate-flavoured cream,chocolate-flavoured vodka,,,,,,,,,,,,,
140,christmas punch,SAQ,0,rum,vodka,,,,,,,,,,,,,
141,christmas star,SAQ,0,apple-flavoured vodka,champagne,,,,,,,,,,,,,
142,churchill,SAQ,0,citrus liqueur,scotch,red vermouth,,,,,,,,,,,,
143,cidertini,SAQ,0,vodka,cider,,,,,,,,,,,,,
144,cielo blanco,SAQ,0,tequila,,,,,,,,,,,,,,
145,citrus gin,SAQ,0,dry gin,,,,,,,,,,,,,,
146,citrus rum,SAQ,0,rum,lemon liqueur,,,,,,,,,,,,,
147,citrus spray,SAQ,0,dry gin,citrus liqueur,,,,,,,,,,,,,
148,citrus tonic,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
149,classic kir,SAQ,0,black currant liqueur,dry white wine,,,,,,,,,,,,,
150,classy coffee,SAQ,0,almond liqueur,marula,,,,,,,,,,,,,
151,clemmy,SAQ,0,dry gin,,,,,,,,,,,,,,
152,cocktailgate,SAQ,0,vodka,beer,,,,,,,,,,,,,
153,coco boom,SAQ,0,coconut liqueur,,,,,,,,,,,,,,
154,coco cola,SAQ,0,vodka,coconut liqueur,,,,,,,,,,,,,
155,coco martini,SAQ,0,vodka,coconut liqueur,,,,,,,,,,,,,
156,coco sunrise,SAQ,0,coconut liqueur,,,,,,,,,,,,,,
157,coco yaya,SAQ,0,vodka,,,,,,,,,,,,,,
158,coco zen,SAQ,0,coconut liqueur,tea liqueur,,,,,,,,,,,,,
159,coco-apple,SAQ,0,coconut liqueur,rum,,,,,,,,,,,,,
160,coco-mango margarita,SAQ,0,tequila,citrus liqueur,,,,,,,,,,,,,
161,coconut-rum coffee,SAQ,0,rum,citrus liqueur,,,,,,,,,,,,,
162,coffee camping,SAQ,0,marula,,,,,,,,,,,,,,
163,coffee comfort,SAQ,0,coffee liqueur,,,,,,,,,,,,,,
164,coffee cream,SAQ,0,irish cream,,,,,,,,,,,,,,
165,coffee lady,SAQ,0,coffee liqueur,,,,,,,,,,,,,,
166,coffee martini,SAQ,0,coffee liqueur,cognac,,,,,,,,,,,,,
167,comet rocket,SAQ,0,dry gin,,,,,,,,,,,,,,
168,cool granny,SAQ,0,citrus liqueur,red wine,,,,,,,,,,,,,
169,cool martini,SAQ,0,tequila,melon liqueur,,,,,,,,,,,,,
170,cosmo tchin-tchin,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
171,cosmofruit,SAQ,0,citrus liqueur,,,,,,,,,,,,,,
172,cosmopolitan,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
173,cosmopolo,SAQ,0,vodka,citrus liqueur,,,,,,,,,,,,,
174,cotton candy,SAQ,0,vodka,,,,,,,,,,,,,,
175,country breeze,SAQ,0,vodka,coconut liqueur,,,,,,,,,,,,,
176,coureur elixir,SAQ,0,maple-flavoured cream,whiskey,,,,,,,,,,,,,
177,crabapple,SAQ,0,pear-flavoured vodka,,,,,,,,,,,,,,
178,cranberry breeze,SAQ,0,coffee liqueur,,,,,,,,,,,,,,
179,cranberry passion,SAQ,0,vodka,raspberry liqueur,,,,,,,,,,,,,
180,cranberry-citrus punch,SAQ,0,rum,vodka,citrus liqueur,,,,,,,,,,,,
181,cranberry-lime rum,SAQ,0,rum,,,,,,,,,,,,,,
182,cream caramel,SAQ,0,irish cream,irish whiskey,,,,,,,,,,,,,
183,cream passion,SAQ,0,irish cream,whiskey,,,,,,,,,,,,,
